HICL_SEQNO,MEDID,NDC,DrugName,Slug,genericDrugName,formLabel,strength,brandgeneric_code,brandgeneric_desc,DescriptionHeader,Description,DescriptionFooter,Contradictions_Header,Contradictions,SideEffects_Header,SideEffects,SideEffects_Footer
4,204037,69238199201,digoxin,digoxin,digoxin,Tablet,250 mcg (0.25 mg),1,Generic,What is Digoxin?,DIGOXIN (di JOX in) is used to treat congestive heart failure and heart rhythm problems.,Digoxin may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Digoxin?,"They need to know if you have any of these conditions:\n-certain heart rhythm disorders\n-heart disease or recent heart attack\n-kidney or liver disease\n-an unusual or allergic reaction to digoxin, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Digoxin?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n-changes in behavior, mood, or mental ability\n-changes in vision\n-confusion\n-fast, irregular heartbeat\n-feeling faint or lightheaded, falls\n-headache\n-nausea, vomiting\n-unusual bleeding, bruising\n-unusually weak or tired\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-breast enlargement in men and women\n-diarrhea",This list may not describe all possible side effects for Digoxin. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
4,269681,69238199101,digoxin,digoxin,digoxin,Tablet,125 mcg (0.125 mg),1,Generic,What is Digoxin?,DIGOXIN (di JOX in) is used to treat congestive heart failure and heart rhythm problems.,Digoxin may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Digoxin?,"They need to know if you have any of these conditions:\n-certain heart rhythm disorders\n-heart disease or recent heart attack\n-kidney or liver disease\n-an unusual or allergic reaction to digoxin, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Digoxin?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n-changes in behavior, mood, or mental ability\n-changes in vision\n-confusion\n-fast, irregular heartbeat\n-feeling faint or lightheaded, falls\n-headache\n-nausea, vomiting\n-unusual bleeding, bruising\n-unusually weak or tired\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-breast enlargement in men and women\n-diarrhea",This list may not describe all possible side effects for Digoxin. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
25,169246,50111048301,theophylline,theophylline,theophylline,"Tablet, Extended Release 12 Hr",100 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
967,234958,11822880140,Balanced B-50,Balanced-B-50,Vitamins B Complex,Tablet,NULL,2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
967,264035,11822439600,vitamin B complex,vitamin-B-complex,Vitamins B Complex,Tablet,NULL,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
967,295595,54629056001,vitamin B complex,vitamin-B-complex,Vitamins B Complex,Capsule,NULL,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
967,437506,11822880150,B-Complex,B-Complex,Vitamins B Complex,Tablet,NULL,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,159287,80681016600,ascorbic acid (vitamin C),ascorbic-acid-vitamin-C,ascorbic acid (vitamin C),Tablet,"1,000 mg",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,168974,00904052360,Vitamin C,Vitamin-C,ascorbic acid (vitamin C),Tablet,500 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,202332,31604001496,Vitamin C,Vitamin-C,ascorbic acid (vitamin C),"Tablet,chewable",500 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,224870,31604001489,Vitamin C,Vitamin-C,ascorbic acid (vitamin C),Tablet,"1,000 mg",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,226531,50428028693,ascorbic acid (vitamin C),ascorbic-acid-vitamin-C,ascorbic acid (vitamin C),Tablet,500 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,234471,20555000100,ascorbic acid (vitamin C),ascorbic-acid-vitamin-C,ascorbic acid (vitamin C),Tablet,250 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,236418,80681012900,ascorbic acid (vitamin C),ascorbic-acid-vitamin-C,ascorbic acid (vitamin C),"Tablet,chewable",250 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,279229,11822880250,Vitamin C,Vitamin-C,ascorbic acid (vitamin C),Tablet,250 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
994,437187,50428043004,Vitamin C With Rose Hips,Vitamin-C-With-Rose-Hips,ascorbic acid (vitamin C),Tablet,500 mg,1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,169268,52244020010,Theo-24,Theo-24,theophylline,"Capsule, Ext Release 24 Hr",200 mg,2,Brand,What is Theo-24?,"THEOPHYLLINE (the OFF i lin) is a bronchodilator. This drug is used to treat asthma and COPD, like chronic bronchitis or emphysema. It opens the airways in the lungs so it is easier to breathe.",Theo-24 may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Theo-24?,"They need to know if you have any of these conditions:\n\n  -heart disease\n  -irregular heartbeat or rhythm\n  -liver disease\n  -seizures\n  -stomach ulcers, other stomach or intestine problems\n  -thyroid disease\n  -smoke tobacco cigarettes\n  -an unusual or allergic reaction to theophylline, aminophylline, other medicines, foods, dyes, or preservatives\n  -pregnant or trying to get pregnant\n  -breast-feeding",What side effects may I notice from receiving Theo-24?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n\n  -allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n  -fast or irregular breathing or heartbeat\n  -seizures\n  -trouble sleeping\n  -vomiting\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n\n  -diarrhea\n  -headache\n  -increased urination\n  -irritable\n  -nausea\n  -restless\n  -tremors",This list may not describe all possible side effects for Theo-24. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
25,175282,68462038001,theophylline,theophylline,theophylline,"Tablet, Extended Release 24 Hr",400 mg,1,Generic,What is Theophylline?,"THEOPHYLLINE (the OFF i lin) is a bronchodilator. This drug is used to treat asthma and COPD, like chronic bronchitis or emphysema. It opens the airways in the lungs so it is easier to breathe.",Theophylline may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Theophylline?,"They need to know if you have any of these conditions:\n\n  -heart disease\n  -irregular heartbeat or rhythm\n  -liver disease\n  -seizures\n  -stomach ulcers, other stomach or intestine problems\n  -thyroid disease\n  -smoke tobacco cigarettes\n  -an unusual or allergic reaction to theophylline, aminophylline, other medicines, foods, dyes, or preservatives\n  -pregnant or trying to get pregnant\n  -breast-feeding",What side effects may I notice from receiving Theophylline?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n\n  -allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n  -fast or irregular breathing or heartbeat\n  -seizures\n  -trouble sleeping\n  -vomiting\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n\n  -diarrhea\n  -headache\n  -increased urination\n  -irritable\n  -nausea\n  -restless\n  -tremors",This list may not describe all possible side effects for Theophylline. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
25,176596,52244010010,Theo-24,Theo-24,theophylline,"Capsule, Ext Release 24 Hr",100 mg,2,Brand,What is Theo-24?,"THEOPHYLLINE (the OFF i lin) is a bronchodilator. This drug is used to treat asthma and COPD, like chronic bronchitis or emphysema. It opens the airways in the lungs so it is easier to breathe.",Theo-24 may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Theo-24?,"They need to know if you have any of these conditions:\n\n  -heart disease\n  -irregular heartbeat or rhythm\n  -liver disease\n  -seizures\n  -stomach ulcers, other stomach or intestine problems\n  -thyroid disease\n  -smoke tobacco cigarettes\n  -an unusual or allergic reaction to theophylline, aminophylline, other medicines, foods, dyes, or preservatives\n  -pregnant or trying to get pregnant\n  -breast-feeding",What side effects may I notice from receiving Theo-24?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n\n  -allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n  -fast or irregular breathing or heartbeat\n  -seizures\n  -trouble sleeping\n  -vomiting\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n\n  -diarrhea\n  -headache\n  -increased urination\n  -irritable\n  -nausea\n  -restless\n  -tremors",This list may not describe all possible side effects for Theo-24. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
25,209750,62332002531,theophylline,theophylline,theophylline,"Tablet, Extended Release 12 Hr",300 mg,1,Generic,What is Theophylline Anhydrous?,"THEOPHYLLINE (the OFF i lin) is a bronchodilator. This drug is used to treat asthma and COPD, like chronic bronchitis or emphysema. It opens the airways in the lungs so it is easier to breathe.",Theophylline Anhydrous may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Theophylline Anhydrous?,"They need to know if you have any of these conditions:\n\n  -heart disease\n  -irregular heartbeat or rhythm\n  -liver disease\n  -seizures\n  -stomach ulcers, other stomach or intestine problems\n  -thyroid disease\n  -smoke tobacco cigarettes\n  -an unusual or allergic reaction to theophylline, aminophylline, other medicines, foods, dyes, or preservatives\n  -pregnant or trying to get pregnant\n  -breast-feeding",What side effects may I notice from receiving Theophylline Anhydrous?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n\n  -allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n  -fast or irregular breathing or heartbeat\n  -seizures\n  -trouble sleeping\n  -vomiting\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n\n  -diarrhea\n  -headache\n  -increased urination\n  -irritable\n  -nausea\n  -restless\n  -tremors",This list may not describe all possible side effects for Theophylline Anhydrous. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
25,271995,27808003301,theophylline,theophylline,theophylline,"Solution, Oral",80 mg/15 mL,1,Generic,What is Theophylline?,"THEOPHYLLINE (the OFF i lin) is a bronchodilator. This drug is used to treat asthma and COPD, like chronic bronchitis or emphysema. It opens the airways in the lungs so it is easier to breathe.",Theophylline may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Theophylline?,"They need to know if you have any of these conditions:\n\n  -heart disease\n  -irregular heartbeat or rhythm\n  -liver disease\n  -seizures\n  -stomach ulcers, other stomach or intestine problems\n  -thyroid disease\n  -smoke tobacco cigarettes\n  -an unusual or allergic reaction to theophylline, aminophylline, other medicines, foods, dyes, or preservatives\n  -pregnant or trying to get pregnant\n  -breast-feeding",What side effects may I notice from receiving Theophylline?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n\n  -allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n  -fast or irregular breathing or heartbeat\n  -seizures\n  -trouble sleeping\n  -vomiting\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n\n  -diarrhea\n  -headache\n  -increased urination\n  -irritable\n  -nausea\n  -restless\n  -tremors",This list may not describe all possible side effects for Theophylline. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
77,189730,00093312701,disopyramide phosphate,disopyramide-phosphate,disopyramide phosphate,Capsule,100 mg,1,Generic,What is Disopyramide Phosphate?,DISOPYRAMIDE (dye soe PEER a mide) is an antiarrhythmic drug. It helps make your heart beat regularly. This medicine also helps to slow rapid heartbeats.,Disopyramide Phosphate may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Disopyramide Phosphate?,"They need to know if you have any of these conditions:\n-diabetes\n-difficulty passing urine\n-glaucoma\n-heart disease or previous heart attack\n-kidney disease\n-liver disease\n-low blood pressure\n-malnutrition\n-myasthenia gravis\n-an unusual or allergic reaction to disopyramide, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Disopyramide Phosphate?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n-breathing problems\n-chest pain\n-confusion\n-cool, pale skin\n-fast, irregular heartbeat\n-feeling faint or lightheaded\n-fever, chills, or sore throat\n-headache\n-swelling of feet or legs\n-trouble passing urine or change in the amount of urine\n-unusually weak or tired\n-unusual weight gain\n-unusual hunger\n-yellowing of the eyes or skin\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-change in sex drive or performance\n-constipation or diarrhea\n-nausea, vomiting\n-stomach pain or bloating",This list may not describe all possible side effects for Disopyramide Phosphate. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
82,169107,62559038201,flecainide,flecainide,flecainide,Tablet,150 mg,1,Generic,What is Flecainide Acetate?,FLECAINIDE (FLEK a nide) is an antiarrhythmic drug. This medicine is used to prevent irregular heart rhythm. It can also slow down fast heartbeats called tachycardia.,Flecainide Acetate may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Flecainide Acetate?,"They need to know if you have any of these conditions:\n-abnormal levels of potassium in the blood\n-heart disease including heart rhythm and heart rate problems\n-kidney or liver disease\n-recent heart attack\n-an unusual or allergic reaction to flecainide, local anesthetics, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Flecainide Acetate?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-chest pain, continued irregular heartbeats\n-difficulty breathing\n-swelling of the legs or feet\n-trembling, shaking\n-unusually weak or tired\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-blurred vision\n-constipation\n-headache\n-nausea, vomiting\n-stomach pain",This list may not describe all possible side effects for Flecainide Acetate. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
82,248491,62559038001,flecainide,flecainide,flecainide,Tablet,50 mg,1,Generic,What is Flecainide Acetate?,FLECAINIDE (FLEK a nide) is an antiarrhythmic drug. This medicine is used to prevent irregular heart rhythm. It can also slow down fast heartbeats called tachycardia.,Flecainide Acetate may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Flecainide Acetate?,"They need to know if you have any of these conditions:\n-abnormal levels of potassium in the blood\n-heart disease including heart rhythm and heart rate problems\n-kidney or liver disease\n-recent heart attack\n-an unusual or allergic reaction to flecainide, local anesthetics, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Flecainide Acetate?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-chest pain, continued irregular heartbeats\n-difficulty breathing\n-swelling of the legs or feet\n-trembling, shaking\n-unusually weak or tired\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-blurred vision\n-constipation\n-headache\n-nausea, vomiting\n-stomach pain",This list may not describe all possible side effects for Flecainide Acetate. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
82,251766,62559038101,flecainide,flecainide,flecainide,Tablet,100 mg,1,Generic,What is Flecainide Acetate?,FLECAINIDE (FLEK a nide) is an antiarrhythmic drug. This medicine is used to prevent irregular heart rhythm. It can also slow down fast heartbeats called tachycardia.,Flecainide Acetate may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Flecainide Acetate?,"They need to know if you have any of these conditions:\n-abnormal levels of potassium in the blood\n-heart disease including heart rhythm and heart rate problems\n-kidney or liver disease\n-recent heart attack\n-an unusual or allergic reaction to flecainide, local anesthetics, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Flecainide Acetate?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-chest pain, continued irregular heartbeats\n-difficulty breathing\n-swelling of the legs or feet\n-trembling, shaking\n-unusually weak or tired\n\nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-blurred vision\n-constipation\n-headache\n-nausea, vomiting\n-stomach pain",This list may not describe all possible side effects for Flecainide Acetate. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
83,175363,65862073260,amiodarone,amiodarone,amiodarone,Tablet,200 mg,1,Generic,What is Amiodarone?,"AMIODARONE (a MEE oh da rone) is an antiarrhythmic drug. It helps make your heart beat regularly. Because of the side effects caused by this medicine, it is only used when other medicines have not worked. It is usually used for heartbeat problems that may be life threatening.",Amiodarone may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Amiodarone?,"They need to know if you have any of these conditions:\n-liver disease\n-lung disease\n-other heart problems\n-thyroid disease\n-an unusual or allergic reaction to amiodarone, iodine, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Amiodarone?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n-blue-gray coloring of the skin\n-blurred vision, seeing blue green halos, increased sensitivity of the eyes to light\n-breathing problems\n-chest pain\n-dark urine\n-fast, irregular heartbeat\n-feeling faint or light-headed\n-intolerance to heat or cold\n-nausea or vomiting\n-pain and swelling of the scrotum\n-pain, tingling, numbness in feet, hands\n-redness, blistering, peeling or loosening of the skin, including inside the mouth\n-spitting up blood\n-stomach pain\n-sweating\n-unusual or uncontrolled movements of body\n-unusually weak or tired\n-weight gain or loss\n-yellowing of the eyes or skin\n \nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-change in sex drive or performance\n-constipation\n-dizziness\n-headache\n-loss of appetite\n-trouble sleeping",This list may not describe all possible side effects for Amiodarone. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
996,448042,31604001870,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Tablet,"25 mcg (1,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,448044,30768015605,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Capsule,"25 mcg (1,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,473804,74312035873,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Capsule,"250 mcg (10,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,476846,11845011831,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Capsule,10 mcg (400 unit),1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,228864,51862024230,amiodarone,amiodarone,amiodarone,Tablet,400 mg,1,Generic,What is Amiodarone?,"AMIODARONE (a MEE oh da rone) is an antiarrhythmic drug. It helps make your heart beat regularly. Because of the side effects caused by this medicine, it is only used when other medicines have not worked. It is usually used for heartbeat problems that may be life threatening.",Amiodarone may be used for other purposes; ask your health care provider or pharmacist if you have questions,What should I tell my health care provider before I take Amiodarone?,"They need to know if you have any of these conditions:\n-liver disease\n-lung disease\n-other heart problems\n-thyroid disease\n-an unusual or allergic reaction to amiodarone, iodine, other medicines, foods, dyes, or preservatives\n-pregnant or trying to get pregnant\n-breast-feeding",What side effects may I notice from receiving Amiodarone?,"Side effects that you should report to your doctor or health care professional as soon as possible:\n-allergic reactions like skin rash, itching or hives, swelling of the face, lips, or tongue\n-blue-gray coloring of the skin\n-blurred vision, seeing blue green halos, increased sensitivity of the eyes to light\n-breathing problems\n-chest pain\n-dark urine\n-fast, irregular heartbeat\n-feeling faint or light-headed\n-intolerance to heat or cold\n-nausea or vomiting\n-pain and swelling of the scrotum\n-pain, tingling, numbness in feet, hands\n-redness, blistering, peeling or loosening of the skin, including inside the mouth\n-spitting up blood\n-stomach pain\n-sweating\n-unusual or uncontrolled movements of body\n-unusually weak or tired\n-weight gain or loss\n-yellowing of the eyes or skin\n \nSide effects that usually do not require medical attention (report to your doctor or health care professional if they continue or are bothersome):\n-change in sex drive or performance\n-constipation\n-dizziness\n-headache\n-loss of appetite\n-trouble sleeping",This list may not describe all possible side effects for Amiodarone. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
996,546694,80681016900,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Tablet,"25 mcg (1,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,550786,75834002012,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Capsule,"1,250 mcg (50,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,555575,80681000900,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Capsule,"50 mcg (2,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,555940,80681017000,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Tablet,"50 mcg (2,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,555958,31604002674,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Tablet,"50 mcg (2,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,557725,40985027380,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),"Tablet,chewable",10 mcg (400 unit),1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,558435,54629794101,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),Tablet,"125 mcg (5,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,559664,74312067291,cholecalciferol (vitamin D3),cholecalciferol-vitamin-D3,cholecalciferol (vitamin D3),"Tablet,chewable","25 mcg (1,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,559673,30768050356,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),"Tablet,chewable","25 mcg (1,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,560645,74312017621,D3-2000,D3-2000,cholecalciferol (vitamin D3),Capsule,"50 mcg (2,000 unit)",2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,561137,40985027288,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Tablet,"125 mcg (5,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,563091,11822547890,Vitamin D3,Vitamin-D3,cholecalciferol (vitamin D3),Capsule,"50 mcg (2,000 unit)",1,Generic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,565532,67112090130,Decara,Decara,cholecalciferol (vitamin D3),Capsule,"625 mcg (25,000 unit)",2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,573854,10542010008,Dialyvite Vitamin D3 Max,Dialyvite-Vitamin-D3-Max,cholecalciferol (vitamin D3),Tablet,"1,250 mcg (50,000 unit)",2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,580757,67112090250,Decara,Decara,cholecalciferol (vitamin D3),Capsule,"1,250 mcg (50,000 unit)",2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
996,581219,51663000501,Optimal D3,Optimal-D3,cholecalciferol (vitamin D3),Capsule,"1,250 mcg (50,000 unit)",2,Brand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
