NDC,MegaChainNameNew,AffilID,unit_cost,unit_retail_price
00005417990,INDEPENDENT,0000000,0.1065,0.1599
00005417990,RITE AID CORP,9000045,0.116,0.1192
00005417990,WALGREENS,9000037,0.1829,0.4996
00024101510,CVS,9000009,0.111,0.1601
00024101510,RITE AID CORP,9000045,0.1404,0.1787
00054001925,RITE AID CORP,9000045,3.9375,14.9875
00054002511,REG CHAIN,9000664,8.25,16.9542
00054007928,THE KROGER COMPANY,9000428,0.3457,0.8809
00054007928,WALMART PHARMACY,9000057,0.8594,1.1958
00054023525,REG CHAIN,9000074,2.485,3.4875
00054023525,REG CHAIN,9000755,0.5389,0.5532
00054023625,INDEPENDENT,0000000,0.7726,1.3434
00054023863,RITE AID CORP,9000045,0.1257,0.2
00054024425,CVS,9000373,0.615,1.1998
00054024425,THE KROGER COMPANY,9000468,1.155,1.1863
00054024525,ALBERTSON'S/SAFEWAY,9000950,0.5694,1.8124
00054038663,RITE AID CORP,9000045,0.2507,0.6082
00054038663,WALGREENS,9000037,0.6375,0.8197
00054060313,REG CHAIN,9000074,4.84,14.4563
00054063905,CVS,9000009,33.5375,62.9125
00054063905,WALGREENS,9000037,27.25,62.9938
00054317757,THE KROGER COMPANY,9000428,0.1744,0.3307
00054355563,WALGREENS,9000037,0.1544,0.3747
00054372263,REG CHAIN,9000137,0.605,1.0097
00054417925,PSAO,9009915,4.2938,6.4375
00054418025,ALBERTSON'S/SAFEWAY,9000050,1.2775,1.3362
00054418125,CVS,9000009,5.0625,14.9875
00054418325,CVS,9000064,2.3062,7.4938
00054418325,REG CHAIN,9000137,1.305,2.2625
00054418325,THE KROGER COMPANY,9000010,1.435,1.4975
00054418425,CVS,9000009,4.6125,14.9875
00054418425,REG CHAIN,9000017,1.5625,1.6667
00054418425,REG CHAIN,9000137,2.425,4.0583
00054418425,REG CHAIN,9000608,2.2,2.2781
00054418425,WALMART PHARMACY,9000057,1.0408,1.0523
00054418625,PSAO,9000423,1.3143,7.5089
00054429731,REG CHAIN,9000743,3.5375,5.1083
00054429931,INDEPENDENT,0000000,0.4221,1.64
00054429931,REG CHAIN,9001689,0.1576,0.2083
00054429931,RITE AID CORP,9000045,1.0875,2.1411
00054429931,WALGREENS,9000037,3.0875,14.9875
00054430125,RITE AID CORP,9000045,2.0375,2.1411
00054449710,CVS,9000009,11.975,13.7437
00054452725,CVS,9000064,0.2446,0.2498
00054452725,THE KROGER COMPANY,9000010,0.0844,0.4606
00054452725,THE KROGER COMPANY,9000428,0.1724,0.4583
00054474125,CVS,9000064,0.3229,0.4996
00088165475,WALGREENS,9000037,0.2042,0.2329
00093005301,CVS,9000064,0.3625,0.5454
00093005301,INDEPENDENT,0000000,0.2375,1.5085
00093005401,ALBERTSON'S/SAFEWAY,9000950,0.4533,0.8329
00093005401,PSAO,9009783,0.4471,2.0975
00093030801,ALBERTSON'S/SAFEWAY,9000950,0.9979,3.1394
00093030801,INDEPENDENT,0000000,0.9322,2.6625
00093031101,ALBERTSON'S/SAFEWAY,9000050,0.8229,1.9109
00093031101,REG CHAIN,9000646,0.5248,0.795
00093031101,REG CHAIN,9000743,2.45,4.545
00093031401,ALBERTSON'S/SAFEWAY,9000026,2.4275,3.3363
00093031401,CVS,9000064,2.6275,2.9975
00093031401,PSAO,9009783,1.2813,1.2917
00093031401,REG CHAIN,9000074,14.0125,14.9375
00093031901,REG CHAIN,9000664,0.2379,1.8023
00093032101,CVS,9000009,0.7892,0.7996
00093071101,CVS,9000064,0.8575,0.8706
00093081001,CVS,9000373,0.5308,0.5413
00093083205,CVS,9000009,4.0625,14.9875
00093083205,WALGREENS,9000037,3.125,14.9875
00093083205,WALMART PHARMACY,9000057,0.7158,0.7356
00093094801,CVS,9000009,1.2339,1.6244
00093094801,REG CHAIN,9000017,1.2087,2.2283
00093094801,REG CHAIN,9000137,1.6375,1.8063
00093094801,WALGREENS,9000037,4.1792,5.0375
00093094801,WALMART PHARMACY,9000057,1.9192,2.4508
00093100301,CVS,9000373,0.9315,1.2706
00093106101,CVS,9000064,1.0058,1.0163
00093117701,RITE AID CORP,9000045,1.7396,2.9146
00093117701,WALGREENS,9000037,2.4333,4.9958
00093206406,INDEPENDENT,0000000,0.3569,1.3375
00093206406,RITE AID CORP,9000045,1.281,1.7083
00093206406,THE KROGER COMPANY,9000937,0.2322,1.2534
00093220401,CVS,9000373,0.8063,1.8734
00093221001,REG CHAIN,9000363,0.3118,0.8751
00093221001,REG CHAIN,9000664,0.9533,1.3492
00093224001,RITE AID CORP,9000045,4.0406,14.9992
00093226801,CVS,9000009,1.625,3.7469
00093226801,WALMART PHARMACY,9000057,0.7853,0.7931
00093312901,REG CHAIN,9000074,1.1371,4.4891
00093342101,ALBERTSON'S/SAFEWAY,9000950,3.1708,6.0681
00093342605,CVS,9000009,0.8888,0.9806
00093342605,INDEPENDENT,0000000,0.3987,1.7112
00093360882,REG CHAIN,9000137,85.0375,170.4125
00093360882,THE KROGER COMPANY,9000010,47.3125,182.4875
00093360882,THE KROGER COMPANY,9000147,47.3125,182.4875
00093360982,ALBERTSON'S/SAFEWAY,9000050,123.1625,168.3625
00093500556,WALGREENS,9000037,6.5375,12.2875
00093500556,WALMART PHARMACY,9000057,1.9544,8.6331
00093534156,INDEPENDENT,0000000,8.2771,83.2921
00093534356,ALBERTSON'S/SAFEWAY,9000950,1.5037,20.3738
00093534356,CVS,9000064,40.05,83.0997
00093534356,INDEPENDENT,0000000,1.5725,85.06
00093573101,CVS,9000009,5.3438,7.4938
00093720198,CVS,9000009,7.2125,14.9875
00093811856,ALBERTSON'S/SAFEWAY,9000050,0.7509,6.7259
00093819201,REG CHAIN,9000074,10.875,14.9375
00093820401,RITE AID CORP,9000045,1.3946,3.2079
00093820401,WALGREENS,9000037,6.85,14.9875
00093830501,RITE AID CORP,9000045,1.2448,5.2081
00093830501,WALGREENS,9000037,2.4177,3.0198
00093873901,WALGREENS,9000037,1.0313,1.0625
00093914801,CVS,9000373,1.5208,2.1496
00093914901,CVS,9000009,2.33,2.3613
00115143613,CVS,9000009,16.7375,52.8554
00115152210,CVS,9000009,9.0442,9.2492
00115155701,CVS,9000009,4.046,9.0831
00115155701,RITE AID CORP,9000045,2.7902,7.9455
00115155701,WALGREENS,9000037,4.2179,6.517
00115164501,REG CHAIN,9000594,2.165,4.2488
00115169301,THE KROGER COMPANY,9000428,0.6444,1.8956
00115174501,CVS,9000373,4.9088,7.4369
00115180301,RITE AID CORP,9000045,1.4042,4.9958
00115180301,THE KROGER COMPANY,9000085,0.3794,0.5623
00115180401,ALBERTSON'S/SAFEWAY,9000950,0.6869,0.8556
00115261101,CVS,9000373,2.6259,6.1658
00115521116,REG CHAIN,9000646,1.1394,1.4475
00115521116,WALGREENS,9000037,1.4898,1.7148
00115703301,ALBERTSON'S/SAFEWAY,9000950,0.97,1.1246
00115703301,CVS,9000064,0.5792,1.0996
00115703301,INDEPENDENT,0000000,1.3342,2.6017
00115992101,CVS,9000064,6.0033,10.6873
00121064616,THE KROGER COMPANY,9000428,0.0538,0.1916
00121064616,WALMART PHARMACY,9000057,0.0716,0.1786
00121067016,RITE AID CORP,9000045,0.3372,0.5805
00121067016,WALGREENS,9000037,0.3598,0.656
00121067585,THE KROGER COMPANY,9000428,0.0657,0.1625
00121075908,REG CHAIN,9000074,1.8583,2.9063
00121075908,THE KROGER COMPANY,9000010,0.3052,1.0206
00121087316,CVS,9000009,0.425,1.4988
00121087316,REG CHAIN,9000912,0.0431,0.0918
00121087316,WALMART PHARMACY,9000057,0.0266,0.0686
00121092516,CVS,9000064,0.3755,0.6199
00121092516,REG CHAIN,9000074,0.3233,0.6746
00143301801,ALBERTSON'S/SAFEWAY,9000950,6.5143,9.7045
00143301801,REG CHAIN,9000074,9.8417,11.6458
00143980305,CVS,9000373,10.0375,14.9875
00143980305,REG CHAIN,9000664,2.2708,6.9192
00143980305,THE KROGER COMPANY,9000085,0.9158,5.5413
00143992701,CVS,9000009,3.1938,3.7469
00143992701,INDEPENDENT,0000000,1.9437,10.95
00143992701,RITE AID CORP,9000045,4.8812,7.4969
00143992701,WALGREENS,9000037,6.8375,7.4938
00143992701,WALMART PHARMACY,9000057,1.5241,1.5469
00143992801,ALBERTSON'S/SAFEWAY,9000950,0.6643,2.5308
00143992801,REG CHAIN,9000094,0.77,2.8431
00143992801,REG CHAIN,9000467,1.2175,1.2488
00143992801,THE KROGER COMPANY,9000428,2.3917,2.4958
00143992950,CVS,9000373,3.3931,3.9744
00172392670,REG CHAIN,9000664,1.7792,2.0813
00172392670,THE KROGER COMPANY,9001065,0.3417,0.3565
00172392770,REG CHAIN,9000074,10.5375,14.9375
00172392770,THE KROGER COMPANY,9000010,7.175,7.4875
00172572860,ALBERTSON'S/SAFEWAY,9000950,0.8741,2.9326
00172572860,REG CHAIN,9000467,0.2233,3.0277
00172572960,ALBERTSON'S/SAFEWAY,9000950,0.4858,2.8204
00172572960,CVS,9000064,1.4675,1.4988
00172572960,INDEPENDENT,0000000,0.4754,7.9408
00185021101,CVS,9000009,3.6708,4.9958
00185021101,THE KROGER COMPANY,9000937,0.871,2.5833
00185027701,CVS,9000009,3.625,4.9958
00185064901,RITE AID CORP,9000045,3.55,13.7375
00223172001,CVS,9000373,0.033,0.0844
00223176001,CVS,9000064,0.1521,0.1811
00223176001,THE KROGER COMPANY,9000153,0.2025,0.2181
00223176001,THE KROGER COMPANY,9000428,0.2029,0.2083
00228206710,RITE AID CORP,9000045,1.2512,1.8738
00228206710,WALGREENS,9000037,1.6113,2.1862
00228206910,CVS,9000009,3.3813,7.4938
00228234810,WALGREENS,9000037,1.1058,1.6075
00228254010,ALBERTSON'S/SAFEWAY,9000950,0.4577,1.2435
00228254010,REG CHAIN,9000074,0.3086,1.5414
00228257111,ALBERTSON'S/SAFEWAY,9000950,0.4118,0.829
00228262011,INDEPENDENT,0000000,0.2005,1.5038
00228262011,THE KROGER COMPANY,9000428,0.2081,1.6423
00228277811,CVS,9000009,1.5008,2.3329
00228277811,INDEPENDENT,0000000,0.9746,3.0379
00228277811,WALGREENS,9000037,3.3,4.9958
00228277811,WALMART PHARMACY,9000057,1.2963,2.1555
00228277911,INDEPENDENT,0000000,0.9983,4.0287
00228277911,RITE AID CORP,9000045,1.2258,2.9162
00228277911,WALGREENS,9000037,4.1063,6.2438
00228284903,CVS,9000009,5.6208,11.6249
00228284903,RITE AID CORP,9000045,9.3194,15.1665
00228284903,WALGREENS,9000037,5.8375,14.7063
00228285111,PSAO,9009783,3.255,31.25
00228315303,REG CHAIN,9000074,2.0805,8.5898
00228315303,REG CHAIN,9000755,1.8958,4.1031
00228315303,THE KROGER COMPANY,9000428,0.68,7.0175
00228315603,CVS,9000009,8.75,14.9875
00228331603,CVS,9000064,8.73,13.4996
00228331603,REG CHAIN,9000074,13.625,27.8958
00245010810,ALBERTSON'S/SAFEWAY,9000950,1.33,1.3738
00245010810,CVS,9000064,0.6392,0.6606
00245010810,PSAO,9000909,0.5492,1.0621
00245531711,CVS,9000373,0.5253,0.736
00245531911,CVS,9000373,0.4554,0.8246
00245531911,THE KROGER COMPANY,9000605,0.371,0.7915
00254302902,CVS,9000373,5.6333,7.7079
00363011916,WALGREENS,9000037,0.1663,0.1767
00363069965,WALGREENS,9000037,0.3475,0.7496
00378107593,WALGREENS,9000037,5.9542,9.2875
00378172193,RITE AID CORP,9000045,3.3242,7.4163
00378172193,WALGREENS,9000037,6.5542,8.8708
00378172493,CVS,9000064,6.5088,7.4163
00378230201,CVS,9000373,0.5356,1.0034
00378416001,WALGREENS,9000037,3.1375,3.9569
00378416201,CVS,9000373,5.1297,8.0461
00378427577,ALBERTSON'S/SAFEWAY,9000950,2.3482,5.3554
00378581577,PSAO,9000909,0.824,3.3754
00378606001,CVS,9000009,2.2675,2.2988
00378606001,WALGREENS,9000037,2.5525,3.9362
00378632277,WALGREENS,9000037,3.5775,5.8975
00378632377,REG CHAIN,9000074,0.8517,6.3729
00378632477,REG CHAIN,9000074,0.8267,6.9979
00378638001,CVS,9000009,1.63,1.6612
00378638001,WALMART PHARMACY,9000057,1.9365,2.7333
00378644001,PSAO,9009915,1.6687,3.4379
00378668877,CVS,9000009,2.1304,24.4444
00378668877,INDEPENDENT,0000000,0.2789,6.5837
00378668877,REG CHAIN,9000137,0.3288,1.8788
00378668877,WALGREENS,9000037,8.775,14.9875
00378668977,CVS,9000373,1.1711,3.4444
00378718705,WALGREENS,9000037,4.025,14.9875
00378718705,WALMART PHARMACY,9000057,0.3781,0.406
00378802193,WALGREENS,9000037,1.9555,5.907
00406012305,REG CHAIN,9000755,0.9175,1.1858
00406012305,THE KROGER COMPANY,9000010,0.9625,1.004
00406048410,REG CHAIN,9000482,0.72,2.1742
00406052201,CVS,9000373,0.2983,2.7499
00406052201,THE KROGER COMPANY,9000085,1.4144,3.4056
00406052201,THE KROGER COMPANY,9000605,0.9354,3.3957
00406052301,ALBERTSON'S/SAFEWAY,9001929,0.1796,1.6845
00406052301,REG CHAIN,9000467,0.5893,4.439
00406052301,THE KROGER COMPANY,9000428,1.4542,4.4417
00406117003,ALBERTSON'S/SAFEWAY,9000050,4.7333,6.6625
00406117003,THE KROGER COMPANY,9000495,1.2758,3.3121
00406324401,ALBERTSON'S/SAFEWAY,9000050,0.4176,1.2795
00406324901,REG CHAIN,9000664,0.4269,1.6888
00406324901,RITE AID CORP,9000045,1.1174,1.7707
00406575501,REG CHAIN,9000074,0.4056,0.5542
00406577101,CVS,9000009,0.0936,0.552
00406577101,REG CHAIN,9000003,0.2531,0.6249
00406851501,INDEPENDENT,0000000,0.3528,3.7194
00406851501,REG CHAIN,9000003,0.3194,1.3837
00472103016,CVS,9000373,0.3204,0.4282
00472103016,PSAO,9009783,0.2077,0.6705
00527131101,WALGREENS,9000037,6.4792,7.9542
00527131301,ALBERTSON'S/SAFEWAY,9000026,0.2538,1.9291
00527131301,ALBERTSON'S/SAFEWAY,9000950,0.3333,1.9343
00527147701,CVS,9000373,1.1323,1.7871
00527147701,THE KROGER COMPANY,9000605,1.5137,2.6874
00527155201,REG CHAIN,9000074,1.4821,2.1229
00527280332,REG CHAIN,9000594,18.375,66.2479
00527280332,THE KROGER COMPANY,9000817,19.1875,69.4975
00527409437,REG CHAIN,9000074,2.9725,9.7438
00527458137,CVS,9000009,7.9,8.0563
00527458137,WALGREENS,9000037,5.05,9.7469
00527810837,REG CHAIN,9000074,3.2988,10.8313
00527811237,WALGREENS,9000037,9.6538,16.5538
00536100901,REG CHAIN,9000094,0.1344,0.2081
00536100901,REG CHAIN,9000467,0.0707,0.075
00536100901,THE KROGER COMPANY,9000428,0.3642,0.3852
